rawContent,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
"Iklan banyak, pencarian nomor pun terbatas","iklan banyak, pencarian nomor pun terbatas",iklan banyak pencarian nomor pun terbatas,"['iklan', 'banyak', 'pencarian', 'nomor', 'pun', 'terbatas']","['iklan', 'pencarian', 'nomor', 'terbatas']","['iklan', 'pencarian', 'nomor', 'terbatas']","['iklan', 'cari', 'nomor', 'batas']"
Tidak bisa melihat lokasi pemilik contact,tidak bisa melihat lokasi pemilik contact,tidak bisa melihat lokasi pemilik contact,"['tidak', 'bisa', 'melihat', 'lokasi', 'pemilik', 'contact']","['lokasi', 'pemilik', 'contact']","['lokasi', 'pemilik', 'contact']","['lokasi', 'milik', 'contact']"
KEMBALIKAN GET CONTACT YANG DULU!!! Sekarang apa apa premium!! Harus bayar dulu melihat tag nomor orang lain.. Hidup lagi susah ekonomi susah jangan di tambah susah dong cina !,kembalikan get contact yang dulu!!! sekarang apa apa premium!! harus bayar dulu melihat tag nomor orang lain.. hidup lagi susah ekonomi susah jangan di tambah susah dong cina !,kembalikan get contact yang dulu sekarang apa apa premium harus bayar dulu melihat tag nomor orang lain hidup lagi susah ekonomi susah jangan di tambah susah dong cina,"['kembalikan', 'get', 'contact', 'yang', 'dulu', 'sekarang', 'apa', 'apa', 'premium', 'harus', 'bayar', 'dulu', 'melihat', 'tag', 'nomor', 'orang', 'lain', 'hidup', 'lagi', 'susah', 'ekonomi', 'susah', 'jangan', 'di', 'tambah', 'susah', 'dong', 'cina']","['kembalikan', 'get', 'contact', 'premium', 'bayar', 'tag', 'nomor', 'orang', 'hidup', 'susah', 'ekonomi', 'susah', 'susah', 'cina']","['kembalikan', 'get', 'contact', 'premium', 'bayar', 'tag', 'nomor', 'orang', 'hidup', 'susah', 'ekonomi', 'susah', 'susah', 'cina']","['kembali', 'get', 'contact', 'premium', 'bayar', 'tag', 'nomor', 'orang', 'hidup', 'susah', 'ekonomi', 'susah', 'susah', 'cina']"
Gak jelas udh saya unistall berbulan bulan tiba-tiba tagihan ke shoppe pay saya dan ilang 35rb saldo saya. Tolong hentikan iini,gak jelas udh saya unistall berbulan bulan tiba-tiba tagihan ke shoppe pay saya dan ilang 35rb saldo saya. tolong hentikan iini,gak jelas udh saya unistall berbulan bulan tibatiba tagihan ke shoppe pay saya dan ilang rb saldo saya tolong hentikan iini,"['gak', 'jelas', 'udh', 'saya', 'unistall', 'berbulan', 'bulan', 'tibatiba', 'tagihan', 'ke', 'shoppe', 'pay', 'saya', 'dan', 'ilang', 'rb', 'saldo', 'saya', 'tolong', 'hentikan', 'iini']","['udh', 'unistall', 'berbulan', 'tibatiba', 'tagihan', 'shoppe', 'pay', 'ilang', 'rb', 'saldo', 'tolong', 'hentikan', 'iini']","['udh', 'unistall', 'berbulan', 'tibatiba', 'tagihan', 'shoppe', 'pay', 'ilang', 'rb', 'saldo', 'tolong', 'hentikan', 'iini']","['udh', 'unistall', 'bulan', 'tibatiba', 'tagih', 'shoppe', 'pay', 'ilang', 'rb', 'saldo', 'tolong', 'henti', 'iini']"
Bagus tapi iklannya di kurangi bos ku,bagus tapi iklannya di kurangi bos ku,bagus tapi iklannya di kurangi bos ku,"['bagus', 'tapi', 'iklannya', 'di', 'kurangi', 'bos', 'ku']","['bagus', 'iklannya', 'kurangi', 'bos', 'ku']","['bagus', 'iklannya', 'kurangi', 'bos', 'ku']","['bagus', 'iklan', 'kurang', 'bos', 'ku']"
Mantap bisa mengetahui nomor yg tdk jelas,mantap bisa mengetahui nomor yg tdk jelas,mantap bisa mengetahui nomor yg tdk jelas,"['mantap', 'bisa', 'mengetahui', 'nomor', 'yg', 'tdk', 'jelas']","['mantap', 'nomor']","['mantap', 'nomor']","['mantap', 'nomor']"
Sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],['membantu'],['bantu']
Dulu suka banget apk ini. Sekarang jarang di pake karena berbayar,dulu suka banget apk ini. sekarang jarang di pake karena berbayar,dulu suka banget apk ini sekarang jarang di pake karena berbayar,"['dulu', 'suka', 'banget', 'apk', 'ini', 'sekarang', 'jarang', 'di', 'pake', 'karena', 'berbayar']","['suka', 'banget', 'apk', 'jarang', 'pake', 'berbayar']","['suka', 'banget', 'apk', 'jarang', 'pake', 'berbayar']","['suka', 'banget', 'apk', 'jarang', 'pake', 'bayar']"
apk sangat bagus,apk sangat bagus,apk sangat bagus,"['apk', 'sangat', 'bagus']","['apk', 'bagus']","['apk', 'bagus']","['apk', 'bagus']"
"Tidak profesional karena aplikasi telah diamankan oleh Lintas Akun Google, Tidak Rekomendasi Bermanfaat bagus.","tidak profesional karena aplikasi telah diamankan oleh lintas akun google, tidak rekomendasi bermanfaat bagus.",tidak profesional karena aplikasi telah diamankan oleh lintas akun google tidak rekomendasi bermanfaat bagus,"['tidak', 'profesional', 'karena', 'aplikasi', 'telah', 'diamankan', 'oleh', 'lintas', 'akun', 'google', 'tidak', 'rekomendasi', 'bermanfaat', 'bagus']","['profesional', 'aplikasi', 'diamankan', 'lintas', 'akun', 'google', 'rekomendasi', 'bermanfaat', 'bagus']","['profesional', 'aplikasi', 'diamankan', 'lintas', 'akun', 'google', 'rekomendasi', 'bermanfaat', 'bagus']","['profesional', 'aplikasi', 'aman', 'lintas', 'akun', 'google', 'rekomendasi', 'manfaat', 'bagus']"
"Kenapa ya Getcontact di Amankan Oleh Lintas Akun Google, Tolong Tunjukkan Profesional. Terimakasih","kenapa ya getcontact di amankan oleh lintas akun google, tolong tunjukkan profesional. terimakasih",kenapa ya getcontact di amankan oleh lintas akun google tolong tunjukkan profesional terimakasih,"['kenapa', 'ya', 'getcontact', 'di', 'amankan', 'oleh', 'lintas', 'akun', 'google', 'tolong', 'tunjukkan', 'profesional', 'terimakasih']","['getcontact', 'amankan', 'lintas', 'akun', 'google', 'tolong', 'tunjukkan', 'profesional', 'terimakasih']","['getcontact', 'amankan', 'lintas', 'akun', 'google', 'tolong', 'tunjukkan', 'profesional', 'terimakasih']","['getcontact', 'aman', 'lintas', 'akun', 'google', 'tolong', 'tunjuk', 'profesional', 'terimakasih']"
"Cara bayarnya ribet, hanya da dua pilihan Paypal dan kartu krdit. Mohon untuk ditambahkan lgi pilihan cara bayarnya misal via Indomaret dll.","cara bayarnya ribet, hanya da dua pilihan paypal dan kartu krdit. mohon untuk ditambahkan lgi pilihan cara bayarnya misal via indomaret dll.",cara bayarnya ribet hanya da dua pilihan paypal dan kartu krdit mohon untuk ditambahkan lgi pilihan cara bayarnya misal via indomaret dll,"['cara', 'bayarnya', 'ribet', 'hanya', 'da', 'dua', 'pilihan', 'paypal', 'dan', 'kartu', 'krdit', 'mohon', 'untuk', 'ditambahkan', 'lgi', 'pilihan', 'cara', 'bayarnya', 'misal', 'via', 'indomaret', 'dll']","['bayarnya', 'ribet', 'da', 'pilihan', 'paypal', 'kartu', 'krdit', 'mohon', 'lgi', 'pilihan', 'bayarnya', 'via', 'indomaret', 'dll']","['bayarnya', 'ribet', 'da', 'pilihan', 'paypal', 'kartu', 'krdit', 'mohon', 'lgi', 'pilihan', 'bayarnya', 'via', 'indomaret', 'dll']","['bayar', 'ribet', 'da', 'pilih', 'paypal', 'kartu', 'krdit', 'mohon', 'lgi', 'pilih', 'bayar', 'via', 'indomaret', 'dll']"
